facet_id,facet_name,category,scoring_type,rubric,batch_id
1,Risktaking,Personality,inferred,"1=No evidence of Risktaking in the conversation; 2=Slight trace of Risktaking; 3=Moderate presence of Risktaking; 4=Clear and notable Risktaking; 5=Very strong, dominant Risktaking",0
2,Naivety,General,inferred,"1=No evidence of Naivety in the conversation; 2=Slight trace of Naivety; 3=Moderate presence of Naivety; 4=Clear and notable Naivety; 5=Very strong, dominant Naivety",0
3,Acidity,General,inferred,"1=No evidence of Acidity in the conversation; 2=Slight trace of Acidity; 3=Moderate presence of Acidity; 4=Clear and notable Acidity; 5=Very strong, dominant Acidity",0
4,Democratic Leadership,Social,inferred,"1=No evidence of Democratic Leadership in the conversation; 2=Slight trace of Democratic Leadership; 3=Moderate presence of Democratic Leadership; 4=Clear and notable Democratic Leadership; 5=Very strong, dominant Democratic Leadership",0
5,Common-sense,General,inferred,"1=No evidence of Common-sense in the conversation; 2=Slight trace of Common-sense; 3=Moderate presence of Common-sense; 4=Clear and notable Common-sense; 5=Very strong, dominant Common-sense",0
6,Hesitation,General,inferred,"1=No evidence of Hesitation in the conversation; 2=Slight trace of Hesitation; 3=Moderate presence of Hesitation; 4=Clear and notable Hesitation; 5=Very strong, dominant Hesitation",0
7,Discontentment,Emotion,inferred,"1=No evidence of Discontentment in the conversation; 2=Slight trace of Discontentment; 3=Moderate presence of Discontentment; 4=Clear and notable Discontentment; 5=Very strong, dominant Discontentment",0
8,Overprotectiveness,General,inferred,"1=No evidence of Overprotectiveness in the conversation; 2=Slight trace of Overprotectiveness; 3=Moderate presence of Overprotectiveness; 4=Clear and notable Overprotectiveness; 5=Very strong, dominant Overprotectiveness",0
9,Merriness,Emotion,inferred,"1=No evidence of Merriness in the conversation; 2=Slight trace of Merriness; 3=Moderate presence of Merriness; 4=Clear and notable Merriness; 5=Very strong, dominant Merriness",0
10,Emotionalism,Emotion,inferred,"1=No evidence of Emotionalism in the conversation; 2=Slight trace of Emotionalism; 3=Moderate presence of Emotionalism; 4=Clear and notable Emotionalism; 5=Very strong, dominant Emotionalism",0
11,Self-improvement,General,inferred,"1=No evidence of Self-improvement in the conversation; 2=Slight trace of Self-improvement; 3=Moderate presence of Self-improvement; 4=Clear and notable Self-improvement; 5=Very strong, dominant Self-improvement",1
12,Statistical Reasoning,Cognition,inferred,"1=No evidence of Statistical Reasoning in the conversation; 2=Slight trace of Statistical Reasoning; 3=Moderate presence of Statistical Reasoning; 4=Clear and notable Statistical Reasoning; 5=Very strong, dominant Statistical Reasoning",1
13,Assertiveness and control in relationships,Personality,inferred,"1=No evidence of Assertiveness and control in relationships in the conversation; 2=Slight trace of Assertiveness and control in relationships; 3=Moderate presence of Assertiveness and control in relationships; 4=Clear and notable Assertiveness and control in relationships; 5=Very strong, dominant Assertiveness and control in relationships",1
14,Cunningness,General,inferred,"1=No evidence of Cunningness in the conversation; 2=Slight trace of Cunningness; 3=Moderate presence of Cunningness; 4=Clear and notable Cunningness; 5=Very strong, dominant Cunningness",1
15,Adventure-Seeking Behavior,General,inferred,"1=No evidence of Adventure-Seeking Behavior in the conversation; 2=Slight trace of Adventure-Seeking Behavior; 3=Moderate presence of Adventure-Seeking Behavior; 4=Clear and notable Adventure-Seeking Behavior; 5=Very strong, dominant Adventure-Seeking Behavior",1
16,Compassion Fatigue,Social,inferred,"1=No evidence of Compassion Fatigue in the conversation; 2=Slight trace of Compassion Fatigue; 3=Moderate presence of Compassion Fatigue; 4=Clear and notable Compassion Fatigue; 5=Very strong, dominant Compassion Fatigue",1
17,Moroseness,Emotion,inferred,"1=No evidence of Moroseness in the conversation; 2=Slight trace of Moroseness; 3=Moderate presence of Moroseness; 4=Clear and notable Moroseness; 5=Very strong, dominant Moroseness",1
18,Specialist,General,inferred,"1=No evidence of Specialist in the conversation; 2=Slight trace of Specialist; 3=Moderate presence of Specialist; 4=Clear and notable Specialist; 5=Very strong, dominant Specialist",1
19,Aloofness,General,inferred,"1=No evidence of Aloofness in the conversation; 2=Slight trace of Aloofness; 3=Moderate presence of Aloofness; 4=Clear and notable Aloofness; 5=Very strong, dominant Aloofness",1
20,Genuine,General,inferred,"1=No evidence of Genuine in the conversation; 2=Slight trace of Genuine; 3=Moderate presence of Genuine; 4=Clear and notable Genuine; 5=Very strong, dominant Genuine",1
21,Determinedness,General,inferred,"1=No evidence of Determinedness in the conversation; 2=Slight trace of Determinedness; 3=Moderate presence of Determinedness; 4=Clear and notable Determinedness; 5=Very strong, dominant Determinedness",2
22,HonestyHumility,General,inferred,"1=No evidence of HonestyHumility in the conversation; 2=Slight trace of HonestyHumility; 3=Moderate presence of HonestyHumility; 4=Clear and notable HonestyHumility; 5=Very strong, dominant HonestyHumility",2
23,Relationship Building Themes,General,inferred,"1=No evidence of Relationship Building Themes in the conversation; 2=Slight trace of Relationship Building Themes; 3=Moderate presence of Relationship Building Themes; 4=Clear and notable Relationship Building Themes; 5=Very strong, dominant Relationship Building Themes",2
24,Pure Challenge,General,inferred,"1=No evidence of Pure Challenge in the conversation; 2=Slight trace of Pure Challenge; 3=Moderate presence of Pure Challenge; 4=Clear and notable Pure Challenge; 5=Very strong, dominant Pure Challenge",2
25,Numerical Reasoning Subcomponents,Cognition,inferred,"1=No evidence of Numerical Reasoning Subcomponents in the conversation; 2=Slight trace of Numerical Reasoning Subcomponents; 3=Moderate presence of Numerical Reasoning Subcomponents; 4=Clear and notable Numerical Reasoning Subcomponents; 5=Very strong, dominant Numerical Reasoning Subcomponents",2
26,Openness,Personality,inferred,"1=No evidence of Openness in the conversation; 2=Slight trace of Openness; 3=Moderate presence of Openness; 4=Clear and notable Openness; 5=Very strong, dominant Openness",2
27,SelfEsteem,General,inferred,"1=No evidence of SelfEsteem in the conversation; 2=Slight trace of SelfEsteem; 3=Moderate presence of SelfEsteem; 4=Clear and notable SelfEsteem; 5=Very strong, dominant SelfEsteem",2
